Team,Player,NBA,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos,LaneAgilityTime,ShuttleRun,ThreeQuarterSprint,StandingVerticalLeap,MaxVerticalLeap,MaxBenchPress,BodyFat%,HandLength,HandWidth,HeightNoShoes,HeightShoes,StandingReach,Weight,Wingspan,PID,Pk,DraftTeam,RkYear,HeightShoesC,HeightNoShoesC,StandingReachC,WingspanC
charlotte,Rodney White,1,28,26,30.9,6.7,13.8,0.487,5.5,10.4,0.533,1.2,3.4,0.347,4.1,5.7,0.713,1.8,4.7,6.5,1.5,1.2,0.7,2.9,2.6,18.7,SF,12.07,0,3.47,27.5,33.0,16,0,,0,,0,,0,,whitero02,9,DET,2001,0,,0,
michigan-state,Zach Randolph,1,33,8,19.8,4.2,7.1,0.587,4.2,7.1,0.59,0,0,0,2.4,3.8,0.635,3.1,3.6,6.7,1,0.7,0.7,1.6,1.8,10.8,0,,0,,0,,0,,0,,0,,0,,0,randoza01,19,POR,2001,0,,0,
seton-hall,Eddie Griffin,1,30,30,32.6,6.9,16,0.429,5.5,11.7,0.469,1.4,4.3,0.32,2.7,3.6,0.734,3.1,7.6,10.8,1.6,0.9,4.4,2.2,2.4,17.8,0,,0,,0,,0,,0,,0,,0,,0,griffed01,7,NJN,2001,0,,0,
duke,Jay Williams,1,35,35,33.6,7.1,15.6,0.457,4,7.5,0.536,3.1,8.1,0.383,4,5.9,0.676,0.8,2.8,3.5,5.3,2.2,0.1,3.7,2.3,21.3,PG,10.34,0,3.09,28.5,36.0,10,0,,0,,0,,0,,willija03,2,CHI,2002,0,,0,
duke,Mike Dunleavy,1,35,35,32.4,6.2,12.9,0.483,3.7,6.2,0.596,2.5,6.7,0.378,2.3,3.4,0.681,1.3,5.9,7.2,2.1,2.3,0.7,1.7,2.3,17.3,SF,11.55,0,3.30,24.5,29.0,11,0,,0,,0,,0,,dunlemi02,3,GSW,2002,0,,0,
duke,Carlos Boozer,1,35,35,28.4,6.6,9.9,0.665,6.6,9.9,0.667,0,0,0,5.1,6.7,0.754,3.4,5.3,8.7,1.1,0.9,0.6,1.9,3.1,18.2,PF,10.77,0,3.31,26.5,28.5,13,0,,0,,0,,0,,boozeca01,35,CLE,2002,0,,0,
fresno-state,Melvin Ely,1,28,28,35.7,8.8,15.6,0.563,8.8,15.6,0.564,0,0,0,5.8,7.8,0.735,3.2,5.9,9.1,1.8,0.7,3.1,2.6,2.4,23.3,PF,11.96,0,3.35,26.0,29.0,7,0,,0,,0,,0,,elyme01,12,LAC,2002,0,,0,
illinois,Frank Williams,1,35,34,32.4,5,12.7,0.393,3.4,8.1,0.423,1.5,4.5,0.34,4.7,5.8,0.808,0.9,3.7,4.7,4.4,2,0.3,2.7,2.1,16.2,PG,11.73,0,3.29,26.0,31.0,0,0,,0,,0,,0,,willifr02,25,DEN,2002,0,,0,
illinois,Robert Archibald,1,34,31,22.6,3.4,5.1,0.659,3.4,5.1,0.663,0,0,0,3.9,6,0.654,2.1,3.5,5.5,1.3,0.7,1.1,2,3.6,10.6,0,,0,,0,,0,,0,,0,,0,,0,archiro01,32,MEM,2002,0,,0,
kansas,Drew Gooden,1,37,36,30.2,7.7,15.3,0.504,7.4,14.3,0.519,0.3,1,0.278,4.2,5.5,0.755,3.4,8,11.4,2,1.8,1.4,2.9,2.5,19.8,PF,11.81,0,3.19,29.0,33.0,13,0,,0,,0,,0,,goodedr01,4,MEM,2002,0,,0,
